,complaint_number,status,date_entered,house_number,house_street,zip_code,bin,community_board,special_district,complaint_category,unit,disposition_date,disposition_code,inspection_date,dobrundate,complaint_description,bis_description
2636,4869011,CLOSED,01/09/2022,27-16,MCINTOSH STREET,11369.0,4041285,403,,74,QNS.,01/10/2022,G5,01/10/2022,20260427000000,Illegal Commercial/Manufacturing Use in Residential Zone,Complaint Referred to New York Police Department (NYPD)
2637,4909589,CLOSED,12/08/2022,106-07,169 STREET,11433.0,4218172,412,,05,SPOPS,12/13/2022,I2,12/13/2022,20260427000000,Permit – None (Building/PA/Demo etc.),No Violation Warranted for Complaint at Time of Inspection
2638,5064192,CLOSED,05/23/2007,666,SEAVER AVENUE,10305.0,5054883,502,,29,ST.IS,05/29/2007,A9,05/25/2007,20260427000000,"BUILDING – Vacant, Open and Unguarded",OATH and DOB Violations Served
2639,1644857,CLOSED,08/03/2023,344,EAST 28 STREET,10016.0,1020611,106,,6M,ELEVR,08/23/2023,H1,08/23/2023,20260427000000,Elevator: Multiple Devices on Property,Please See Complaint Number
2640,3682228,CLOSED,01/10/2019,518,BRISTOL STREET,11212.0,3082568,316,,05,BKLYN,03/09/2019,C4,03/08/2019,20260427000000,Permit – None (Building/PA/Demo etc.),Access Denied – 2nd Attempt
2641,3722449,CLOSED,09/20/2019,336,53 STREET,11220.0,3014190,307,,5H,OBM,09/23/2019,I2,09/23/2019,20260427000000,Illegal Activity,No Violation Warranted for Complaint at Time of Inspection
2642,1181995,CLOSED,12/14/2006,373,BROADWAY,10013.0,1001936,101,,45,MAN.,12/21/2006,I2,12/20/2006,20260427000000,Illegal Conversion +,No Violation Warranted for Complaint at Time of Inspection
2643,3741820,CLOSED,02/07/2020,1253,EAST 35 STREET,11210.0,3208968,318,,35,BKLYN,05/08/2020,I2,05/08/2020,20260427000000,Curb Cut/Driveway/Carport – ILLEGAL,No Violation Warranted for Complaint at Time of Inspection
2644,1340417,CLOSED,01/02/2013,133,JOHN STREET,10038.0,1001165,101,,1Z,EXEC,01/08/2013,WB,01/04/2013,20260427000000,Enforcement Work Order (DOB),Weather Related: No Access
2645,3570905,CLOSED,08/19/2016,1158,BEDFORD AVENUE,11216.0,3057143,303,,83,BKLYN,09/21/2016,L2,09/21/2016,20260427000000,Construction: Contrary/Beyond Approved Plans/Permits +,Stop Work Order Fully Rescinded
2646,4203632,CLOSED,09/11/2004,104-50,117 STREET,11419.0,4204089,410,,45,QNS.,04/03/2005,C2,03/31/2005,20260427000000,Illegal Conversion +,Inspector Unable to Gain Access – 2nd Final Attempt
2647,3070411,CLOSED,04/05/1999,40,TROY AVENUE,11213.0,3048084,303,,43,BKLYN,04/06/1999,A9,04/05/1999,20260427000000,Structural Stability Affected,OATH and DOB Violations Served
2648,2301681,CLOSED,06/11/2020,1318,FRANKLIN AVENUE,10456.0,2009725,203,,6X,OBM,06/22/2020,C2,06/22/2020,20260427000000,Work Without Permits Watch List Compliance,Inspector Unable to Gain Access – 2nd Final Attempt
