,complaint_number,status,date_entered,house_number,house_street,zip_code,bin,community_board,special_district,complaint_category,unit,disposition_date,disposition_code,inspection_date,dobrundate,complaint_description,bis_description
0,4982211,CLOSED,12/12/2024,107-29,129 STREET,11419.0,4206074,410,,45,Q-L,07/15/2025,C4,07/15/2025,20260427000000,Illegal Conversion +,Access Denied – 2nd Attempt
1,1301351,CLOSED,04/24/2011,204,WEST  121 STREET,10027.0,1058474,110,,74,MAN.,08/17/2011,C2,08/15/2011,20260427000000,Illegal Commercial/Manufacturing Use in Residential Zone,Inspector Unable to Gain Access – 2nd Final Attempt
2,1365729,CLOSED,02/17/2014,217,HAVEN AVENUE,10033.0,1063453,112,,63,ELEVR,04/23/2015,A1,11/21/2014,20260427000000,Elevator: Defective/Inoperative,Buildings Violation(s) Served
3,2234436,CLOSED,10/23/2016,30,PILOT STREET,10464.0,2081765,210,,63,ELEVR,10/26/2016,H1,10/26/2016,20260427000000,Elevator: Defective/Inoperative,Please See Complaint Number
4,4623824,CLOSED,07/04/2015,43-08,74 STREET,11373.0,4032040,404,,71,QNS.,04/14/2016,C2,04/13/2016,20260427000000,SRO: Illegal Work/No Permit/Change in Occupancy Use +,Inspector Unable to Gain Access – 2nd Final Attempt
5,4116009,CLOSED,09/28/2000,20-31,129 STREET,11356.0,4438006,407,,75,SPOPS,05/07/2002,H1,05/07/2002,20260427000000,Adult Establishment,Please See Complaint Number
6,3A57761,CLOSED,04/16/2026,926,MOTHER GASTON BOULEVARD,11212.0,3430175,316,,4S,SYE,04/17/2026,I2,04/17/2026,20260427000000,Sustainability Enforcement Work Order,No Violation Warranted for Complaint at Time of Inspection
7,3279491,CLOSED,09/12/2008,8701,BAY   16 STREET,11214.0,3167700,311,,74,BKLYN,09/24/2008,C2,09/23/2008,20260427000000,Illegal Commercial/Manufacturing Use in Residential Zone,Inspector Unable to Gain Access – 2nd Final Attempt
8,4828396,CLOSED,11/07/2020,153-25,121 AVENUE,11434.0,4265295,412,,74,QNS.,02/05/2021,I2,02/05/2021,20260427000000,Illegal Commercial/Manufacturing Use in Residential Zone,No Violation Warranted for Complaint at Time of Inspection
9,3453791,CLOSED,08/18/2013,25,BOERUM STREET,11206.0,3338415,301,,74,BKLYN,07/07/2014,I2,07/02/2014,20260427000000,Illegal Commercial/Manufacturing Use in Residential Zone,No Violation Warranted for Complaint at Time of Inspection
10,3165395,CLOSED,08/05/2005,56,SOUTH   11 STREET,11211.0,3059814,301,,37,BKLYN,08/05/2005,A9,08/05/2005,20260427000000,Egress: - Locked/Blocked/Improper/No Secondary Means,OATH and DOB Violations Served
11,1470760,CLOSED,01/24/2018,1444,3 AVENUE,10028.0,1047572,108,,4L,BEST,01/31/2018,L2,01/30/2018,20260427000000,CSC: High-Rise Tracking Complaint,Stop Work Order Fully Rescinded
12,1142446,CLOSED,05/17/2005,250,WEST   93 STREET,10025.0,1087656,107,,14,ERT,05/18/2005,I2,05/17/2005,20260427000000,Excavation – Undermining Adjacent Building,No Violation Warranted for Complaint at Time of Inspection
13,4467229,CLOSED,12/08/2010,35-11,DITMARS BOULEVARD,11105.0,4016608,401,,91,QNS.,12/08/2010,I2,12/08/2010,20260427000000,Site Conditions Endangering Workers,No Violation Warranted for Complaint at Time of Inspection
14,2094585,CLOSED,02/05/2007,287,EAST  162 STREET,10451.0,2001981,204,,35,BRONX,02/09/2007,I2,02/08/2007,20260427000000,Curb Cut/Driveway/Carport – ILLEGAL,No Violation Warranted for Complaint at Time of Inspection
15,4151986,CLOSED,08/20/2002,85-40,56 AVENUE,11373.0,4065451,404,,74,QNS.,09/30/2002,C2,09/26/2002,20260427000000,Illegal Commercial/Manufacturing Use in Residential Zone,Inspector Unable to Gain Access – 2nd Final Attempt
16,4708554,CLOSED,10/02/2017,107-36,120 STREET,11419.0,4205481,410,,05,QNS.,10/05/2017,A8,10/04/2017,20260427000000,Permit – None (Building/PA/Demo etc.),OATH Violation Served
17,3714842,CLOSED,08/05/2019,585,QUINCY STREET,11221.0,3044261,303,,5H,OBM,08/05/2019,I2,08/05/2019,20260427000000,Illegal Activity,No Violation Warranted for Complaint at Time of Inspection
18,4046862,CLOSED,05/25/1995,61-49,56 ROAD,11378.0,4060494,405,,65,QNS.,11/21/1995,C2,10/20/1995,20260427000000,Gas Hook-Up/Piping – Illegal or Defective,Inspector Unable to Gain Access – 2nd Final Attempt
19,3A49635,CLOSED,02/20/2026,2794,MILL AVENUE,11234.0,3242534,318,,6Y,OBM,03/10/2026,L2,03/10/2026,20260427000000,Local Law Audits,Stop Work Order Fully Rescinded
20,1418185,CLOSED,03/06/2016,71,LAIGHT STREET,10013.0,1002818,101,,04,ERT,03/19/2016,I2,03/19/2016,20260427000000,After Hours Work – Illegal,No Violation Warranted for Complaint at Time of Inspection
21,1217943,CLOSED,03/09/2008,520,EAST   90 STREET,10128.0,1051373,108,,23,SCFLD,03/09/2008,I2,03/02/2008,20260427000000,Sidewalk Shed/Supported Scaffold/Inadequate/Defect/NONE/NO PMT/NO CERT,No Violation Warranted for Complaint at Time of Inspection
22,4463673,CLOSED,11/03/2010,91-10,34 AVENUE,11372.0,4311939,403,,45,QNS.,12/03/2010,I2,11/24/2010,20260427000000,Illegal Conversion +,No Violation Warranted for Complaint at Time of Inspection
23,3576758,CLOSED,10/05/2016,95,MILLER AVENUE,11207.0,3087440,305,,45,BKLYN,11/17/2016,A8,11/16/2016,20260427000000,Illegal Conversion +,OATH Violation Served
24,4403112,CLOSED,06/05/2009,59-22,COOPER AVENUE,11385.0,4091133,405,,45,QNS.,10/07/2009,C2,09/26/2009,20260427000000,Illegal Conversion +,Inspector Unable to Gain Access – 2nd Final Attempt
25,4528765,CLOSED,09/27/2012,39-23,212 STREET,11361.0,4594880,411,,2E,BEST,09/27/2012,P6,09/27/2012,20260427000000,Tracking Complaint for Full Demolition Notification,Initial Notification Accepted
26,4273268,CLOSED,08/01/2006,167-36,109 ROAD,11433.0,4216824,412,,54,QNS.,08/30/2006,I2,08/22/2006,20260427000000,Wall/Retaining Wall – Bulging/Cracked,No Violation Warranted for Complaint at Time of Inspection
27,4452506,CLOSED,07/27/2010,69-48,228 STREET,11364.0,4163853,411,,05,QNS.,07/27/2010,A8,04/29/2010,20260427000000,Permit – None (Building/PA/Demo etc.),OATH Violation Served
28,3779436,CLOSED,12/08/2020,80,SKILLMAN STREET,11205.0,3390202,303,,1L,PLUMB,12/29/2020,C2,12/28/2020,20260427000000,Gas Utility Referral,Inspector Unable to Gain Access – 2nd Final Attempt
29,3435657,CLOSED,02/03/2013,1542,53 STREET,11219.0,3130152,312,,35,BKLYN,02/08/2013,I1,02/08/2013,20260427000000,Curb Cut/Driveway/Carport – ILLEGAL,Complaint Unsubstantiated Based on Department Records
30,5128657,CLOSED,06/29/2017,572,WEST FINGERBOARD ROAD,10305.0,5047413,502,,14,EXCAV,06/30/2017,I2,06/30/2017,20260427000000,Excavation – Undermining Adjacent Building,No Violation Warranted for Complaint at Time of Inspection
31,2255836,CLOSED,01/16/2018,2717,CRESTON AVENUE,10468.0,2017568,207,,1L,PLUMB,04/25/2018,I2,04/24/2018,20260427000000,Gas Utility Referral,No Violation Warranted for Complaint at Time of Inspection
32,2140003,CLOSED,01/06/2010,3527,MICKLE AVENUE,10469.0,2115203,212,,94,BRONX,11/08/2010,C2,11/05/2010,20260427000000,Plumbing: Defective/Leaking/Not Maintained,Inspector Unable to Gain Access – 2nd Final Attempt
33,3222386,CLOSED,04/18/2007,230,SPENCER STREET,11205.0,3394309,303,,86,BKLYN,04/18/2007,I2,04/18/2007,20260427000000,Work Contrary to Stop Work Order,No Violation Warranted for Complaint at Time of Inspection
34,5129197,CLOSED,07/27/2017,2590,HYLAN BOULEVARD,10306.0,5164385,502,,4B,SEP,08/01/2017,A1,07/28/2017,20260427000000,SEP – Professional Certification Compliance Audit,Buildings Violation(s) Served
35,4238988,CLOSED,09/05/2005,85-02,91 AVENUE,11421.0,4185976,409,,45,QNS.,11/03/2005,C2,10/21/2005,20260427000000,Illegal Conversion +,Inspector Unable to Gain Access – 2nd Final Attempt
36,4058732,CLOSED,10/16/1996,132-04,CROSS BAY BOULEVARD,11417.0,4245347,410,,05,QNS.,11/04/1996,B1,10/31/1996,20260427000000,Permit – None (Building/PA/Demo etc.),Buildings Violation(s) Prepared and Attempt to Serve will be Made
37,1576267,CLOSED,07/09/2021,747,10 AVENUE,10019.0,1083800,104,,04,ERT,07/12/2021,I2,07/12/2021,20260427000000,After Hours Work – Illegal,No Violation Warranted for Complaint at Time of Inspection
38,1677206,CLOSED,09/10/2024,110,EAST 1 STREET,10009.0,1005755,103,,7J,RTEU,09/10/2024,I2,09/10/2024,20260427000000,Work Without a Permit – Occupied Multiple Dwelling,No Violation Warranted for Complaint at Time of Inspection
39,4164607,CLOSED,04/17/2003,103-41,135 STREET,11419.0,4204950,410,,05,QNS.,05/06/2003,A9,05/05/2003,20260427000000,Permit – None (Building/PA/Demo etc.),OATH and DOB Violations Served
40,4041696,CLOSED,08/17/1994,99-53,164 AVENUE,11414.0,4296424,410,,66,QNS.,02/06/1995,K1,01/03/1995,20260427000000,Plumbing Work – Illegal/No Permit (also Sprinkler/Standpipe),Insufficient Information/Unable to Locate Address
41,3542202,CLOSED,12/29/2015,615,VAN BUREN STREET,11221.0,3074664,304,,90,OBM,12/30/2015,A8,12/29/2015,20260427000000,Unlicensed/Illegal Activity,OATH Violation Served
42,2154871,CLOSED,01/19/2011,45-72,MANHATTAN COLLEGE PARKWAY,10471.0,2084017,208,,05,BRONX,02/14/2011,I2,02/09/2011,20260427000000,Permit – None (Building/PA/Demo etc.),No Violation Warranted for Complaint at Time of Inspection
43,4177605,CLOSED,10/20/2003,106-11,103 AVENUE,11417.0,4198546,409,,45,QNS.,06/28/2004,C2,06/22/2004,20260427000000,Illegal Conversion +,Inspector Unable to Gain Access – 2nd Final Attempt
44,5055558,CLOSED,02/09/2006,199,MORNING STAR ROAD,10303.0,5135554,501,,05,ST.IS,02/21/2006,A9,02/17/2006,20260427000000,Permit – None (Building/PA/Demo etc.),OATH and DOB Violations Served
45,4234502,CLOSED,08/05/2005,104-45,111 STREET,11419.0,4202514,410,,45,QNS.,08/17/2005,H1,08/12/2005,20260427000000,Illegal Conversion +,Please See Complaint Number
46,3940935,CLOSED,12/26/2023,1936,PROSPECT PLACE,11233.0,3039370,316,,73,ERT,12/27/2023,A8,12/27/2023,20260427000000,Failure to Maintain,OATH Violation Served
47,1427696,CLOSED,07/05/2016,208,WEST 23 STREET,10011.0,1014129,104,,09,MAN.,07/14/2016,I2,07/13/2016,20260427000000,Debris – Excessive,No Violation Warranted for Complaint at Time of Inspection
48,4079004,CLOSED,05/22/1998,61-58,56 ROAD,11378.0,4060568,405,,45,QNS.,06/08/1998,A9,06/05/1998,20260427000000,Illegal Conversion +,OATH and DOB Violations Served
49,3238736,CLOSED,09/13/2007,301,TOMPKINS AVENUE,11216.0,3050715,303,,45,BKLYN,12/12/2007,I2,12/11/2007,20260427000000,Illegal Conversion +,No Violation Warranted for Complaint at Time of Inspection
50,3965577,CLOSED,06/20/2024,177,GREENPOINT AVENUE,11222.0,3322599,301,,91,CSE,06/21/2024,I2,06/21/2024,20260427000000,Site Conditions Endangering Workers,No Violation Warranted for Complaint at Time of Inspection
51,1342827,CLOSED,02/07/2013,86,BEDFORD STREET,10014.0,1083531,102,,83,MAN.,02/12/2013,I2,02/11/2013,20260427000000,Construction: Contrary/Beyond Approved Plans/Permits +,No Violation Warranted for Complaint at Time of Inspection
52,4996889,CLOSED,05/20/2025,179-45,144 AVENUE,11434.0,4281024,412,,05,OBM,06/16/2025,A8,06/16/2025,20260427000000,Permit – None (Building/PA/Demo etc.),OATH Violation Served
53,1310136,CLOSED,09/24/2011,224,EAST   59 STREET,10022.0,1038638,106,,4A,SPOPS,10/07/2013,H1,10/07/2013,20260427000000,Illegal Hotel Rooms in Residential Buildings,Please See Complaint Number
54,3207124,CLOSED,10/30/2006,1907,AVENUE U,11229.0,3198279,315,,59,ELCTR,11/08/2006,A1,10/30/2006,20260427000000,Electrical Wiring: Defective/Exposed – In Progress,Buildings Violation(s) Served
55,3166585,CLOSED,08/17/2005,1674,EAST    3 STREET,11230.0,3174822,312,,30,BKLYN,08/23/2005,H1,08/18/2005,20260427000000,Building Shaking/Vibrating/Struct Stability Affected,Please See Complaint Number
56,3178895,CLOSED,12/28/2005,216,NORTH    8 STREET,11211.0,3324843,301,,73,BKLYN,12/28/2005,A9,12/28/2005,20260427000000,Failure to Maintain,OATH and DOB Violations Served
57,4091209,CLOSED,04/23/1999,32-39,46 STREET,11103.0,4013092,401,,45,QNS.,04/29/1999,H1,04/23/1999,20260427000000,Illegal Conversion +,Please See Complaint Number
58,1066381,CLOSED,04/29/1999,199-203,LAFAYETTE STREET,10012.0,1066733,102,,49,MAN.,12/07/1999,A1,06/04/1999,20260427000000,Storefront or Business Sign/Awning/Marquee/Canopy – ILLEGAL,Buildings Violation(s) Served
59,4054723,CLOSED,05/29/1996,115-56,122 STREET,11420.0,4252050,410,,33,QNS.,07/21/1997,B1,06/25/1997,20260427000000,Commercial Use – ILLEGAL,Buildings Violation(s) Prepared and Attempt to Serve will be Made
60,4422296,CLOSED,10/27/2009,30-27,146 STREET,11354.0,4108527,407,,45,QNS.,11/06/2009,I2,11/02/2009,20260427000000,Illegal Conversion +,No Violation Warranted for Complaint at Time of Inspection
61,4976057,CLOSED,10/22/2024,35-46,JUNCTION BOULEVARD,11368.0,4827233,403,,54,QNS.,11/26/2024,I2,11/26/2024,20260427000000,Wall/Retaining Wall – Bulging/Cracked,No Violation Warranted for Complaint at Time of Inspection
62,3174672,CLOSED,11/03/2005,3085,BRIGHTON   13 STREET,11235.0,3245643,313,,66,BKLYN,11/09/2005,A9,11/09/2005,20260427000000,Plumbing Work – Illegal/No Permit (also Sprinkler/Standpipe),OATH and DOB Violations Served
63,2249973,CLOSED,09/22/2017,718,REVERE AVENUE,10465.0,2079958,210,,66,PLUMB,10/25/2017,I2,10/24/2017,20260427000000,Plumbing Work – Illegal/No Permit (also Sprinkler/Standpipe),No Violation Warranted for Complaint at Time of Inspection
64,1392910,CLOSED,04/07/2015,155,EAST 79 STREET,10075.0,1090560,108,,4F,SCFLD,04/07/2015,A8,04/06/2015,20260427000000,Unspecified,OATH Violation Served
65,4313587,CLOSED,07/12/2007,123-16,LIBERTY AVENUE,11419.0,4204460,410,,05,QNS.,07/16/2007,I2,07/14/2007,20260427000000,Permit – None (Building/PA/Demo etc.),No Violation Warranted for Complaint at Time of Inspection
66,3A31822,CLOSED,10/03/2025,5601,CHURCH AVENUE,11203.0,3102383,317,,8A,CSC,10/06/2025,A8,10/03/2025,20260427000000,Construction Safety Compliance (CSC) Action,OATH Violation Served
67,3688230,CLOSED,02/26/2019,116,AVENUE S,11223.0,3189917,311,,37,ERT,02/28/2019,A8,02/28/2019,20260427000000,Egress: - Locked/Blocked/Improper/No Secondary Means,OATH Violation Served
68,4250065,CLOSED,12/07/2005,98-40,57 AVENUE,11368.0,4047323,404,,80,ELEVR,12/16/2005,A1,12/09/2005,20260427000000,Elevator Not Inspected/Illegal/No Permit,Buildings Violation(s) Served
69,2235701,CLOSED,11/22/2016,1630,UNDERCLIFF AVENUE,10453.0,2008878,205,,63,ELEVR,12/12/2016,A8,12/09/2016,20260427000000,Elevator: Defective/Inoperative,OATH Violation Served
70,3074729,CLOSED,10/13/1999,331,ROCKAWAY AVE,11212.0,3326573,316,,43,BKLYN,03/13/2000,B1,11/18/1999,20260427000000,Structural Stability Affected,Buildings Violation(s) Prepared and Attempt to Serve will be Made
71,5137495,CLOSED,09/29/2018,45,RUSSEK DRIVE,10312.0,5078932,503,,55,ST.IS,01/18/2019,I2,01/18/2019,20260427000000,Zoning: Non-Conforming,No Violation Warranted for Complaint at Time of Inspection
72,4648610,CLOSED,04/01/2016,132-42GAR,217 STREET,11413.0,4513027,413,,2E,BEST,04/01/2016,P6,04/01/2016,20260427000000,Tracking Complaint for Full Demolition Notification,Initial Notification Accepted
73,2284007,CLOSED,06/29/2019,4136,WILDER AVENUE,10466.0,2069208,212,,45,Q-L,09/10/2019,I2,09/09/2019,20260427000000,Illegal Conversion +,No Violation Warranted for Complaint at Time of Inspection
74,2111048,CLOSED,03/07/2008,1926,CROSS BRONX EXPRESSWAY,10472.0,2025966,209,,29,BRONX,03/14/2008,I2,03/13/2008,20260427000000,"BUILDING – Vacant, Open and Unguarded",No Violation Warranted for Complaint at Time of Inspection
75,4959841,CLOSED,05/18/2024,26-38,JACKSON AVENUE,11101.0,4620885,402,,7F,CSE,05/18/2024,I2,05/18/2024,20260427000000,CSE: Tracking Compliance,No Violation Warranted for Complaint at Time of Inspection
76,3810886,CLOSED,08/21/2021,279,MOTHER GASTON BOULEVARD,11212.0,3083598,316,,85,BKLYN,09/28/2021,A8,09/28/2021,20260427000000,Failure to Retain Water/Improper Drainage (LL103/89),OATH Violation Served
77,5192000,CLOSED,08/10/2025,520,CASTLETON AVENUE,10301.0,5095808,501,,45,Q-L,03/30/2026,C2,03/26/2026,20260427000000,Illegal Conversion +,Inspector Unable to Gain Access – 2nd Final Attempt
78,2037283,CLOSED,01/04/2001,751,EAST  213 STREET,10467.0,2093552,212,,30,BRONX,01/04/2001,A9,01/04/2001,20260427000000,Building Shaking/Vibrating/Struct Stability Affected,OATH and DOB Violations Served
79,3026931,CLOSED,01/05/1993,621,OCEAN AVENUE,11226.0,3117149,314,,41,BKLYN,01/06/1993,F8,01/05/1993,20260427000000,Falling – Part of Building in Danger of,Complaint Referred to Housing Preservation and Development (HPD)
80,1016122,CLOSED,10/16/1991,1660,3 AVENUE,10128.0,1078545,108,,53,MAN.,01/02/1992,B1,12/24/1991,20260427000000,Vent/Exhaust – Illegal/Improper,Buildings Violation(s) Prepared and Attempt to Serve will be Made
81,4435393,CLOSED,02/25/2010,218-51,HEMPSTEAD AVENUE,11429.0,4230789,413,,73,QNS.,03/24/2010,L2,03/24/2010,20260427000000,Failure to Maintain,Stop Work Order Fully Rescinded
82,1592284,CLOSED,02/05/2022,2070,7 AVENUE,10027.0,1088475,110,,30,ERT,02/05/2022,I2,02/05/2022,20260427000000,Building Shaking/Vibrating/Struct Stability Affected,No Violation Warranted for Complaint at Time of Inspection
83,4132461,CLOSED,08/07/2001,87-42,LEFFERTS BOULEVARD,11418.0,4195921,409,,55,QNS.,09/14/2001,I2,09/11/2001,20260427000000,Zoning: Non-Conforming,No Violation Warranted for Complaint at Time of Inspection
84,4634207,CLOSED,10/17/2015,24-39,28 STREET,11102.0,4017460,401,,05,QNS.,09/30/2016,I2,09/28/2016,20260427000000,Permit – None (Building/PA/Demo etc.),No Violation Warranted for Complaint at Time of Inspection
85,2126575,CLOSED,02/17/2009,1845,HOBART AVENUE,10461.0,2046591,210,,30,BRONX,02/27/2009,C2,02/24/2009,20260427000000,Building Shaking/Vibrating/Struct Stability Affected,Inspector Unable to Gain Access – 2nd Final Attempt
86,4115357,CLOSED,09/18/2000,25-40,30 ROAD,11102.0,4006948,401,,63,ELEVR,11/29/2000,I2,10/05/2000,20260427000000,Elevator: Defective/Inoperative,No Violation Warranted for Complaint at Time of Inspection
87,4161090,CLOSED,02/13/2003,37-11,73 STREET,11372.0,4029795,403,,49,SPOPS,04/18/2003,I2,03/10/2003,20260427000000,Storefront or Business Sign/Awning/Marquee/Canopy – ILLEGAL,No Violation Warranted for Complaint at Time of Inspection
88,4364026,CLOSED,07/24/2008,7027,OLCOTT STREET,11375.0,4077131,406,,74,QNS.,08/26/2008,I2,08/18/2008,20260427000000,Illegal Commercial/Manufacturing Use in Residential Zone,No Violation Warranted for Complaint at Time of Inspection
89,4591824,CLOSED,06/23/2014,89-59,212 STREET,11427.0,4227587,413,,45,QNS.,08/20/2014,C4,08/12/2014,20260427000000,Illegal Conversion +,Access Denied – 2nd Attempt
90,3559456,CLOSED,05/23/2016,640,PARKSIDE AVENUE,11226.0,3116055,309,,65,PLUMB,05/25/2016,A8,05/24/2016,20260427000000,Gas Hook-Up/Piping – Illegal or Defective,OATH Violation Served
91,3865378,CLOSED,07/22/2022,575,GRAND STREET,11211.0,3069341,301,,23,CSE,07/23/2022,A8,07/23/2022,20260427000000,Sidewalk Shed/Supported Scaffold/Inadequate/Defect/NONE/NO PMT/NO CERT,OATH Violation Served
92,4757638,CLOSED,12/14/2018,45-02,QUEENS BOULEVARD,11104.0,4001960,402,,73,BEST,03/28/2019,A1,03/28/2019,20260427000000,Failure to Maintain,Buildings Violation(s) Served
93,3582657,CLOSED,11/23/2016,524,DECATUR STREET,11233.0,3040503,303,,29,BKLYN,12/07/2016,A6,12/03/2016,20260427000000,"BUILDING – Vacant, Open and Unguarded",Vacant/Open/Unguarded Structure – Violation(s) Issued
94,4190342,CLOSED,04/05/2004,109-34,113 STREET,11420.0,4249179,410,,59,ELCTR,04/06/2004,I1,04/06/2004,20260427000000,Electrical Wiring: Defective/Exposed – In Progress,Complaint Unsubstantiated Based on Department Records
95,3943034,CLOSED,01/10/2024,1658,CARROLL STREET,11213.0,3038116,309,,05,SPOPS,01/23/2024,I2,01/23/2024,20260427000000,Permit – None (Building/PA/Demo etc.),No Violation Warranted for Complaint at Time of Inspection
96,3424863,CLOSED,09/21/2012,46,HANCOCK STREET,11216.0,3057452,303,,37,ERT,08/02/2016,Y2,08/02/2016,20260427000000,Egress: - Locked/Blocked/Improper/No Secondary Means,Vacate Order Fully Rescinded
97,3926945,CLOSED,09/14/2023,213,ESSEX STREET,11208.0,3428836,305,,73,BKLYN,09/14/2023,A1,09/14/2023,20260427000000,Failure to Maintain,Buildings Violation(s) Served
98,2319399,CLOSED,06/18/2021,2135,WALLACE AVENUE,10462.0,2048823,211,,6S,ELEVR,08/18/2021,I2,08/17/2021,20260427000000,Elevator: Single Device on Property/No Alternate Service,No Violation Warranted for Complaint at Time of Inspection
99,4715973,CLOSED,12/07/2017,190-25,WOODHULL AVENUE,11423.0,4529897,412,,63,ELEVR,12/14/2017,H1,12/14/2017,20260427000000,Elevator: Defective/Inoperative,Please See Complaint Number
100,4928183,CLOSED,06/14/2023,216-23,136 ROAD,11413.0,4280038,413,,7R,SPOPS,06/21/2023,AF,06/21/2023,20260427000000,Unspecified,
101,4386746,CLOSED,01/15/2009,91-21,195 STREET,11423.0,4231533,412,,58,BOILR,02/12/2009,A8,02/10/2009,20260427000000,Boiler: Defective/Inoperative/No Permit,OATH Violation Served
102,3721887,CLOSED,09/17/2019,124,JAVA STREET,11222.0,3064559,301,,5H,OBM,09/23/2019,I2,09/23/2019,20260427000000,Illegal Activity,No Violation Warranted for Complaint at Time of Inspection
103,1008933,CLOSED,09/17/1990,145,EAST 35 STREET,10016.0,1018905,106,,05,MAN.,10/04/1990,I2,09/27/1990,20260427000000,Permit – None (Building/PA/Demo etc.),No Violation Warranted for Complaint at Time of Inspection
104,1611478,CLOSED,06/08/2022,256,WEST 116 STREET,10026.0,1055249,110,,1X,MAN.,12/05/2022,L2,12/05/2022,20260427000000,Construction Enforcement Work Order (DOB),Stop Work Order Fully Rescinded
105,3324833,CLOSED,11/19/2009,100,ROGERS AVENUE,11216.0,3031470,308,,66,BKLYN,11/30/2009,A8,11/27/2009,20260427000000,Plumbing Work – Illegal/No Permit (also Sprinkler/Standpipe),OATH Violation Served
106,3954319,CLOSED,04/02/2024,260,65 STREET,11220.0,3144193,310,,7K,RTEU,04/12/2024,I2,04/12/2024,20260427000000,Local Law 188/17 Compliance Inspections – Active Jobs,No Violation Warranted for Complaint at Time of Inspection
107,4433801,CLOSED,02/08/2010,64-56,BOOTH STREET,11374.0,4072537,406,,03,QNS.,02/10/2010,I2,02/09/2010,20260427000000,Adjacent Buildings – Not Protected,No Violation Warranted for Complaint at Time of Inspection
108,5042119,CLOSED,11/12/2003,420,CLOVE ROAD,10310.0,5133343,501,,31,ST.IS,12/30/2003,A9,12/29/2003,20260427000000,Certificate of Occupancy – None/ILLEGAL/Contrary to CO,OATH and DOB Violations Served
109,4824502,CLOSED,09/28/2020,31-05,21 STREET,11106.0,4006365,401,,8A,CSC,09/28/2020,A8,09/28/2020,20260427000000,Construction Safety Compliance (CSC) Action,OATH Violation Served
110,3975948,CLOSED,09/09/2024,1907,AVENUE U,11229.0,3198279,315,,10,ERT,09/09/2024,I2,09/09/2024,20260427000000,Debris/Building – Falling or In Danger of Falling,No Violation Warranted for Complaint at Time of Inspection
111,1355661,CLOSED,09/04/2013,157,EAST 2 STREET,10009.0,1004947,103,,53,MAN.,04/28/2014,I2,04/27/2014,20260427000000,Vent/Exhaust – Illegal/Improper,No Violation Warranted for Complaint at Time of Inspection
112,5016750,CLOSED,04/27/1995,410,GARRETSON AVE,,5102101,5,,55,ST.IS,05/11/1995,B1,05/10/1995,20260427000000,Zoning: Non-Conforming,Buildings Violation(s) Prepared and Attempt to Serve will be Made
113,4621199,CLOSED,06/09/2015,25-84,STEINWAY STREET,11103.0,4010298,401,,49,SPOPS,09/28/2015,A8,09/11/2015,20260427000000,Storefront or Business Sign/Awning/Marquee/Canopy – ILLEGAL,OATH Violation Served
114,3599129,CLOSED,04/19/2017,468,12 STREET,11215.0,3026405,306,,59,ELCTR,04/24/2017,A8,04/24/2017,20260427000000,Electrical Wiring: Defective/Exposed – In Progress,OATH Violation Served
115,1269310,CLOSED,11/06/2009,893,10 AVENUE,10019.0,1027085,104,,91,C & D,11/06/2009,I2,11/06/2009,20260427000000,Site Conditions Endangering Workers,No Violation Warranted for Complaint at Time of Inspection
116,4995981,CLOSED,05/12/2025,56-26,MASPETH AVENUE,11378.0,4059764,405,IBZ,1X,QNS.,05/13/2025,I3,05/13/2025,20260427000000,Construction Enforcement Work Order (DOB),Compliance Inspection Performed
117,4891165,CLOSED,05/28/2022,2-33,50 AVENUE,11101.0,4436571,402,,05,QNS.,05/31/2022,I1,05/31/2022,20260427000000,Permit – None (Building/PA/Demo etc.),Complaint Unsubstantiated Based on Department Records
118,1251541,CLOSED,03/18/2009,217,EAST   84 STREET,10028.0,1048729,108,,73,MAN.,03/19/2009,A8,03/18/2009,20260427000000,Failure to Maintain,OATH Violation Served
119,3578039,CLOSED,10/15/2016,872,LORIMER STREET,11222.0,3066722,301,,05,BKLYN,02/24/2017,C2,02/22/2017,20260427000000,Permit – None (Building/PA/Demo etc.),Inspector Unable to Gain Access – 2nd Final Attempt
120,4909462,CLOSED,12/07/2022,65-10,60 PLACE,11385.0,4860433,405,,86,CSE,12/08/2022,I2,12/08/2022,20260427000000,Work Contrary to Stop Work Order,No Violation Warranted for Complaint at Time of Inspection
121,2169972,CLOSED,02/28/2012,1211,JEROME AVENUE,10452.0,2003083,204,,59,ELCTR,02/28/2012,A1,02/17/2012,20260427000000,Electrical Wiring: Defective/Exposed – In Progress,Buildings Violation(s) Served
122,2213716,CLOSED,07/07/2015,783,BECK STREET,10455.0,2005569,202,,63,ELEVR,01/05/2016,A8,01/04/2016,20260427000000,Elevator: Defective/Inoperative,OATH Violation Served
123,3A53377,ACTIVE,03/19/2026,5104,8 AVENUE,11220.0,3013763,307,,31,BKLYN,,,,20260427000000,Certificate of Occupancy – None/ILLEGAL/Contrary to CO,
124,4101491,CLOSED,12/16/1999,1423,PINSON STREET,11691.0,4299435,414,,73,QNS.,01/11/2000,A9,01/10/2000,20260427000000,Failure to Maintain,OATH and DOB Violations Served
125,3609163,CLOSED,07/05/2017,350,LEFFERTS AVENUE,11225.0,3035400,309,,63,ELEVR,07/20/2017,A8,07/19/2017,20260427000000,Elevator: Defective/Inoperative,OATH Violation Served
