"complaint_number","status","date_entered","house_number","house_street","zip_code","bin","community_board","special_district","complaint_category","unit","disposition_date","disposition_code","inspection_date","dobrundate"
"3822692","CLOSED","11/22/2021","54","BRISTOL STREET","11212","3394021","316",,"6M","ELEVR","12/17/2021","H1","12/17/2021","20260427000000"
"4532228","CLOSED","11/05/2012","50-03","65 STREET","11377","4055153","402",,"4W","FEU","11/05/2012","C2","10/25/2012","20260427000000"
"4967708","CLOSED","08/03/2024","97-10","SUTPHIN BOULEVARD","11435","4624500","412",,"8A","CSE","08/06/2024","L2","08/06/2024","20260427000000"
"4672710","CLOSED","11/04/2016","46-08","25 AVENUE","11103","4013458","401",,"31","QNS.","11/06/2017","C7","11/04/2017","20260427000000"
"4484953","CLOSED","06/20/2011","29-26","162 STREET","11358","4110741","407",,"2E","QNS.","06/20/2011","P6","06/20/2011","20260427000000"
"3568674","CLOSED","08/03/2016","2416","84 STREET","11214","3185247","311",,"83","BKLYN","01/12/2017","A8","01/12/2017","20260427000000"
"4994574","CLOSED","04/29/2025","36-08","24 AVENUE","11103","4016142","401",,"8A","CSC","05/19/2025","L2","05/19/2025","20260427000000"
"3057160","CLOSED","07/21/1997","2147","OCEAN PARKWAY","11223","3193069","315",,"06","BKLYN","11/12/1997","A9","11/07/1997","20260427000000"
"4984586","CLOSED","01/09/2025","148","BEACH  116 STREET","11694","4625349","414",,"04","CSE","01/10/2025","A8","01/10/2025","20260427000000"
"4964911","CLOSED","07/05/2024","33-42","75 STREET","11372","4028688","403",,"6V","OBM","07/05/2024","I2","07/05/2024","20260427000000"
"1045177","CLOSED","11/04/1996","240","CENTRAL PARK SOUTH","10019","1024922","105",,"70","C & D","11/22/1996","A1","11/13/1996","20260427000000"
"3627732","CLOSED","11/16/2017","221","79 STREET","11209","3150276","310",,"45","BKLYN","11/17/2017","H1","11/17/2017","20260427000000"
"4731379","CLOSED","05/03/2018","103-02","ROOSEVELT AVENUE","11368","4048555","404",,"49","SPOPS","09/17/2018","A8","07/20/2018","20260427000000"
"1703375","CLOSED","08/29/2025","630","HUDSON STREET","10014","1011649","102",,"37","ERT","09/01/2025","C2","09/01/2025","20260427000000"
"3296174","CLOSED","02/24/2009","6623","FT HAMILTON PARKWAY","11219","3142359","310",,"05","BKLYN","03/13/2009","I2","03/12/2009","20260427000000"
"1155451","CLOSED","11/28/2005","2524","7 AVENUE","10039","1060508","110",,"73","MAN.","12/09/2005","A9","12/01/2005","20260427000000"
"4433350","CLOSED","02/03/2010","97-17","89 STREET","11416","4188429","409",,"45","QNS.","05/25/2010","C2","05/19/2010","20260427000000"
"2047626","CLOSED","08/22/2002","923","BRYANT AVE","10474","2006368","202",,"05","BRONX","10/01/2002","A9","09/26/2002","20260427000000"
"3219640","CLOSED","03/22/2007","26","CHURCH AVENUE","11218","3808864","312",,"23","BKLYN","06/11/2007","I2","06/09/2007","20260427000000"
